title,content,tokens
Page 11,CONTENTS x 7.2 Zero-knowledge proofs (ZKPs): The origin of signatures 134 Schnorr identification protocol: An interactive zero-knowledge proof 134■Signatures as non-interactive zero-knowledge proofs 137 7.3 The signature algorithms you should use (or not) 138 RSA PKCS#1 v1.5: A bad standard 139■RSA-PSS: A better standard 142■The Elliptic Curve Digital Signature Algorithm (ECDSA) 143■The Edwards-curve Digital Signature Algorithm (EdDSA) 145 7.4 Subtle behaviors of signature schemes 149 Substitution attack s on signatures 149■Signature malleability 150 8 Randomness and secrets 152 8.1 What’s randomness? 153 8.2 Slow randomness? Use a pseudorandom number generator (PRNG) 155 8.3 Obtaining randomness in practice 158 8.4 Randomness generation and security considerations 161 8.5 Public randomness 163 8.6 Key derivation with HKDF 1648.7 Managing keys and secrets 168 8.8 Decentralize trust with threshold cryptography 169 PART 2P ROTOCOLS : THE RECIPES OF CRYPTOGRAPHY ....................... ...................175 9 Secure transport 177 9.1 The SSL and TLS secure transport protocols 177 From SSL to TLS 178■Using TLS in practice 179 9.2 How does the TLS protocol work? 181 The TLS handshake 181■How TLS 1.3 encrypts application data 194 9.3 The state of the encrypted web today 194 9.4 Other secure transport protocols 197 Licensed to Jieren Chen <jieren@lychee.ai>,348
Page 12,"CONTENTS xi 9.5 The Noise protocol framework: A modern alternative to TLS 197 The many handshakes of Noise 198■A handshake with Noise 199 10 End-to-end encryption 201 10.1 Why end-to-end encryption? 202 10.2 A root of trust nowhere to be found 203 10.3 The failure of encrypted email 205 PGP or GPG? And how does it work? 205■Scaling trust between users with the web of trust 208■Key discovery is a real issue 208 If not PGP, then what? 210 10.4 Secure messaging: A modern look at end-to-end encryption with Signal 211 More user-friendly than the WOT: Trust but verify 212■X3DH: the Signal protocol’s handshake 215■Double Ratchet: Signal’s post-handshake protocol 218 10.5 The state of end-to-end encryption 222 11 User authentication 226 11.1 A recap of authentication 227 11.2 User authentication, or the quest to get rid of passwords 228 One password to rule them all: Single sign-on (SSO) and password managers 231■Don’t want to see their passwords? Use an asymmetric password-a uthenticated key exchange 232 One-time passwords aren’t really passwords: Going passwordless with symmetric keys 236 ■Replacing passwords with asymmetric keys 239 11.3 User-aided authentication: Pairing devices using some human help 242 Pre-shared keys 244■Symmetric password-authenticated key exchanges with CPace 245■Was my key exchange MITM’d? Just check a short authenticated string (SAS) 246 12 Crypto as in cryptocurrency? 251 12.1 A gentle introduction to Byzantine fault-tolerant (BFT) consensus algorithms 252 A problem of resilience: Distributed protocols to the rescue 252 A problem of trust? De centralization helps 254■A problem of scale: Permissionless and censorship-resistant networks 255 Licensed to Jieren Chen <jieren@lychee.ai>",429
Page 13,"CONTENTS xii 12.2 How does Bitcoin work? 257 How Bitcoin handles user balances and transactions 257 Mining BTCs in the digital age of gold 259■Forking hell! Solving conflicts in mining 263■Reducing a bloc k’s size by using Merkle trees 265 12.3 A tour of cryptocurrencies 267 Volatility 267■Latency 267■Blockchain size 268 Confidentiality 268■Energy efficiency 268 12.4 DiemBFT: A Byzantine fault-tolerant (BFT) consensus protocol 269 Safety and liveness: The two properties of a BFT consensus protocol 269■A round in the DiemBFT protocol 270 How much dishonesty can the protocol tolerate? 270 The DiemBFT rules of voting 271■When are transactions considered finalized? 273■The intuitions behind the safety of DiemBFT 273 13 Hardware cryptography 277 13.1 Modern cryptography attacker model 278 13.2 Untrusted environments: Hardware to the rescue 279 White box cryptography, a bad idea 280■They’re in your wallet: Smart cards and secure elements 281■Banks love them: Hardware security modules (HSMs) 283■Trusted Platform Modules (TPMs): A useful standa rdization of secure elements 285 Confidential computing with a trusted execution environment (TEE) 288 13.3 What solution is good for me? 289 13.4 Leakage-resilient cryptography or how to mitigate side-channel attacks in software 291 Constant-time programming 293■Don’t use the secret! Masking and blinding 294■What about fault attacks? 295 14 Post-quantum cryptography 298 14.1 What are quantum computers and why are they scaring cryptographers? 299 Quantum mechanics, the study of the small 299■From the birth of quantum computers to quantum supremacy 302■The impact of Grover and Shor’s algori thms on cryptography 303■Post-quantum cryptography, the defense against quantum computers 304 Licensed to Jieren Chen <jieren@lychee.ai>",430
Page 14,"CONTENTS xiii 14.2 Hash-based signatures: Don’ t need anything but a hash function 305 One-time signatures (OTS) with Lamport signatures 305 Smaller keys with Winternitz one-time signatures (WOTS) 307Many-times signatures with XMSS and SPHINCS+ 308 14.3 Shorter keys and signatures with lattice-based cryptography 311 What’s a lattice? 311■Learning with errors (LWE), a basis for cryptography? 313■Kyber, a lattice-based key exchange 314 Dilithium, a lattice-based signature scheme 316 14.4 Do I need to panic? 318 15 Is this it? Next-gener ation cryptography 321 15.1 The more the merrier : Secure multi-party computation (MPC) 322 Private set intersection (PSI) 323■General-purpose MPC 324 The state of MPC 326 15.2 Fully homomorphic encryption (FHE) and the promises of an encrypted cloud 326 An example of homomorphic encryption with RSA encryption 327 The different types of homomorphic encryption 327Bootstrapping, the key to fully homomorphic encryption 328An FHE scheme based on the learning with errors problem 330Where is it used? 332 15.3 General-purpose zero-knowledge proofs (ZKPs) 332 How zk-SNARKs work 335■Homomorphic commitments to hide parts of the proof 336■Bilinear pairings to improve our homomorphic commitments 336■Where does the succinctness come from? 337■From programs to polynomials 338 Programs are for computers; we n eed arithmetic circuits instead 338 An arithmetic circuit to a rank-1 constraint system (R1CS) 339From R1CS to a polynomial 340 ■It takes two to evaluate a polynomial hiding in the exponent 340 16 When and where cryptography fails 343 16.1 Finding the right cryptographic primitive or protocol is a boring job 344 16.2 How do I use a cryptographi c primitive or protocol? Polite standards and formal verification 345 16.3 Where are the good libraries? 348 Licensed to Jieren Chen <jieren@lychee.ai>",456
Page 15,"CONTENTS xiv 16.4 Misusing cryptography: De velopers are the enemy 349 16.5 You’re doing it wron g: Usable security 351 16.6 Cryptography is not an island 352 16.7 Your responsibilities as a cr yptography practitioner, don’t roll your own crypto 353 appendix Answers to exercises 357 index 361 Licensed to Jieren Chen <jieren@lychee.ai>",96
Page 16,"xvpreface As you’ve picked up this bo ok, you might be wondering, why another book on cryp- tography? Or even, why should I read this book? To answer this, you have to under- stand when it all started. A book, years in the making Today, if you want to learn about almost anything, you Goog le it, or Bing it, or Baidu it—you get the idea. Yet, for cryptography, and depending on what you’re looking for, resources can be quite lacking. This is something I ran into a long time ago and whichhas been a continuous source of frustration since then. Back when I was in school, I had to impl ement a differential power analysis attack for a class. This attack was a breakthrough in cryptanalysis at that time, as it was the first side-channel attack to be published. A differential power anal ysis attack is some- thing magical: by measuring the power cons umption of a device while it encrypts or decrypts something, you’re able to extrac t its secrets. I realized that great papers could convey great ideas, while putting littl e effort in clarity and intelligibility. I remember banging my head against the wall trying to figure out what the author was trying to say. Worse, I couldn’t find good online resources that explained the paper. So I banged my head a wee more, and fina lly I got it. And then, I thought, maybe I could help others like me who will have to go through this ordeal. Motivated, I drew some diagrams, animat ed them, and recorded myself going over them. That was my first YouT ube video on cryptography: https:/ /www.youtube.com/ watch?v=gbqNCgVcXsM . Licensed to Jieren Chen <jieren@lychee.ai>",406
Page 17,"PREFACE xvi Years later, after I uploaded the video, I still receive praises from random people on the internet. Just yesterday, as I’m wr iting this preface, someone posted, “Thank you, really a great explanation that probabl y saved me hours of trying to understand that paper.” What a reward! This baby step in advent uring myself on the ot her side of the edu- cational landscape was enough to make me want to do more. I started recording more of these videos, and then I started a blog to write about cryptography. You can check it out here: https:/ /cryptologie.net . Before starting this book, I had amasse d nearly 500 articles explaining the many concepts that stand beyond this intro. This was all just practice. In the back of my mind, the idea of writing a book was slow ly maturing years before Manning Publica- tions would reach out to me with a book proposal. The real-world cryptographer curriculum I finished my bachelor’s in theoretical mathematics and didn’t know what was next for me. I had also been programming my whole life, and I wanted to reconcile the two. Naturally, I became curious about cryptography, which se emed to have the best of both worlds, and started reading the differen t books at my disposal. I quickly discov- ered my life’s calling. Some things were annoying, though: in particular, the long introductions that would start with history; I was only intere sted in the technicalities and always had been. I swore to myself, if I ever wrote a book about cryptography, I would not write a single line on Vigenère ciphers, Caesar ciph ers, and other vestiges of history. And so, after obtaining a master of cr yptography at the University of Bordeaux, I thought I was ready for the real world. Little did I know. I believed that my degree was enough, but my education lacked a lot about the real-world protocols I was about to attack. I had spent a lot of time learning about the mathematics of elliptic curves but noth ing about how these were used in cryp- tographic algorithms. I had le arned about LFSRs, and ElGa mal, and DES, and a series of other cryptographic primitives that I would never see again. When I started working in the industry at Matasano, which then became NCC Group, my first gig was to audit OpenSS L, the most popular SSL/TLS implementa- tion—the code that basically encrypted th e whole internet. Oh boy, did it hurt my brain. I remember coming back home every day with a strong headache. What a train- wreck of a library and a protocol! I had no id ea at the time that I would, years later, become a coauthor of TLS 1.3, the latest version of the protocol. But, at that point, I was already thinki ng, “This is what I should have learned in school. The knowledge I’m gaining now is wh at would have been useful to prepare me for the real world!” After all, I was now a sp ecialized security prac titioner in cryptogra- phy. I was reviewing real-wor ld cryptographic applications. I was doing the job that one would wish they had after finishing a cryptography degree. I implemented, veri-fied, used, and advised on what cryptograp hic algorithms to use. This is the reason Licensed to Jieren Chen <jieren@lychee.ai>",770
Page 18,"PREFACE xvii I’m the first reader of the b ook I’m writing. This is what I would have written to my past self in order to prep are him for the real world. Where most of the bugs are My consulting job led me to audit many re al-world crypto graphic applications such as OpenSSL, the encrypted backup system of Google, the TLS 1.3 implementation of Cloudflare, the certificate authority protoc ol of Let’s Encrypt, the sapling protocol of the Zcash cryptocurrency, the threshold proxy re-encryption scheme of NuCypher, and dozens of other real-wor ld cryptographic applications that I unfortunately cannot mention publicly. Early in my job, I was tasked to audit the custom protocol a well-known corpora- tion had written to encrypt their communicat ions. It turns out that it was using signa- tures on almost everything but the epheme ral keys, which completely broke the whole protocol as one could have easily replaced those—a rookie mistake from anyone with some experience with secure transport pr otocols, but something that was missed by people who thought they were experienced enough to roll their own crypto. I remem-ber explaining the vulnerability at the end of the engagement and a room full of engi- neers turning silent for a good 30 seconds. This story repeated itself many times during my career. There was a time when, while auditing a crypto currency for another client, I found a way to forge transactions from already existing ones, due to some am biguity of what was being signed. Looking at TLS implementations for another client, I found some subtle ways to break an RSA implementation, which in turn , transformed into a white paper with one of the inven- tors of RSA, leading to a number of Common Vulnerabilities and Exposures (CVEs) reported to a dozen of open source projec ts. More recently, while reading about the newer Matrix chat protocol as part of writin g my book, I realized that their authentica- tion protocol was broken, leading to a brea k of their end-to-end encryption. There are so many details that can, unfortunately, collapse under you when making use of cryp-tography. At this point, I knew I had to write something about these. This is why my book contains many of these anecdotes. As part of the job, I would review crypto graphy libraries and applications in a mul- titude of programming languages. I discov ered bugs (for example, CVE-2016-3959 in Golang’s standard library), I researched ways that libraries could fool you into misus- ing those (for example, my paper “How to Backdoor Diffie-Hell man”), and I advised on what libraries to use. Developers never kn ew what library to use, and I always found the answer to be tricky. I went on to invent the Disco protocol ( https:/ /discocrypto.com ; https:/ /embed- deddisco.com ) and wrote its fully-featured crypto graphic library in less than 1,000 lines of code, and that, in several language s. Disco only relied on two cryptographic primitives: the permutation of SHA-3 an d Curve25519. Yes, from only those two things implemented in 1,000 lines of code, a developer could do any type of authen- ticated key exchange, signatures, encrypti on, MACs, hashing, key derivation, and so Licensed to Jieren Chen <jieren@lychee.ai>",758
Page 19,"PREFACE xviii on. This gave me a unique perspective as to what a good cryptography library was supposed to be. I wanted my book to contain these kinds of practical insights. So naturally, the dif- ferent chapters contain examples on how to apply “crypto” in different programming languages, using well-respected cryptographic libraries. A need for a new book? As I was giving one of my annual cryptograp hy training sessions at Black Hat (a well- known security conference), one student ca me to me and asked if I could recommend a good book or online course on cryptogr aphy. I remember advi sing the student to read a book from Boneh and Shoup and to attend Cryptography I from Boneh on Coursera. (I also recommend both of th ese resources at the end of this book.) The student told me, “Ah, I tried, it’s to o theoretical!” This answer stayed with me. I disagreed at first, but slowly realized that they were right. Most of the resources are pretty heavy in math, and most developers interacting with cryptography don’t want to deal with math. What el se was there for them? The other two somewhat-respected resources at the time were Applied Cryptography and Cryptography Engineering (both books by Bruce Schneier). But these books were starting to be quite outdated. Applied Cryptography spent four chapters on block ciphers with a whole chapter on cipher mo des of operation but none on authenti- cated encryption. The more recent Cryptography Engineering had a single mention of elliptic curve cryptography in a footnote. On the other hand, many of my videos or blog posts were becoming good primary re ferences for some cryptographic concepts. I knew I could do something special. Gradually, many of my students started becoming interested in cryptocurrencies, asking more and more questions on the subj ect. At the same time, I started to audit more and more cryptocurrency applications . I later moved to a job at Facebook to lead security for the Libra cryptocurrency (now known as Diem). Cryptocurrency was, at that time, one of the hottest fields to work in, mixing a multitude of extremely interesting cryptographic primitives that so far had seen little-to-no real-world use (zero knowledge proofs, aggr egated signatures, threshol d cryptography, multi-party computations, consensus prot ocols, cryptographic accumu lators, verifiable random functions, verifiable delay functions, . . . the list goes on). And yet, no cryptography book included a chapter on cryptocurrencies. I was now in a unique position. I knew I could write someth ing that would tell student s, developers, consultants, security engineers, and others what modern applied cryptography was all about. This was going to be a book with few formulas but filled with many diagrams. This was going to be a book with little history bu t filled with modern stories about cryp- tographic failures that I had witnessed for re al. This was going to be a book with little about legacy algorithms but filled with crypto graphy that I’ve personally seen being used at scale: TLS, the Noise protocol fr amework, the Signal protocol, cryptocurren- cies, HSMs, threshold cryptography, and so on . This was going to be a book with little Licensed to Jieren Chen <jieren@lychee.ai>",714
Page 20,"PREFACE xix theoretical cryptography but filled with what could become relevant: password-authenti- cation key exchanges, zero-knowledge proof s, post-quantum cryptography, and so on. When Manning Publications re ached out to me in 2018, asking if I wanted to write a book on cryptography, I already knew th e answer. I already knew what I wanted to write. I had just been waiting for someone to give me the opportunity and the excuse to spend my time writing the book I had in mind. Coincidentally, Manning has a series of “real-world” books, and so naturally, I su ggested that my book extend it. What you have in front of you is the result of more than two years of hard work and much love. I hope you like it. Licensed to Jieren Chen <jieren@lychee.ai>",189
Page 21,"xxacknowledgments Thank you to Marina Michaels for her continued help and insights and without whom this book probably wouldn’t have come to completion. Thank you to Frances Buran, Sam Zaydel , Michael Rosenberg, Pascal Knecht, Seth David Schoen, Eyal Ronen, Saralynn Chick, Robert Seacord, Eloi Manuel, Rob Wood, Hunter Monk, Jean-Christophe Forest, Liviu Bartha, Mattia Reggiani, Olivier Guerra, Andrey Labunov, Carl Littke, Yan Ivnitskiy, Keller Fuchs, Roman Zabicki, M K Saravanan, Sarah Zennou, Daniel Bourdrez, Jason Noll, Ilias Cherkaoui, Felipe De Lima, Raul Siles, Matteo Bocchi, John Woods, Kostas Chalkias, Yolan Romailler, Gerardo Di Giacomo, Gregory Nazario, Rob Stubbs, Ján Janc ˇár, Gabe Pike, Kiran Tummala, Stephen Singam, Jeremy O’Donoghue, Jere my Boone, Thomas Duboucher, Charles Guillemet, Ryan Sleevi, Li onel Rivière, Benjamin La rsen, Gabriel Giono, Daan Sprenkels, Andreas Krogen, Vadim Lyubas hevsky, Samuel Neves, Steven (Dongze) Yue, Tony Patti, Graham Steel, Jean-Philippe Aumasson, Fabian Be cker, Daniel Li, Jeff Lau, Filipe Casal, Curtis Light, Vincent Herbert, Donald Piret, Dan Cashman, RickyHan,Tshaka Lekholoane, and all the liveboo k commenters for the many discussions and corrections, as well as technical and editorial feedback. To all the reviewers: Adhir Ramjiawan, Al Pezewski, Al Rahimi, Alessandro Campeis, Bobby Lin, Chad Davis, David T Kerns, Do mingo Salazar, Eddy Vluggen, Gábor László Hajba, Geert Van Laethem, Grzegorz Bernas ´, Harald Kuhn, Hugo Durana, Jan Pieter Herweijer, Jeff Smith, Jim Karabatsos, Joel Kotarski, John Paraskevopoulos, Matt Van Winkle, Michal Rutka, Paul Grebenc, Ri chard Lebel, Ruslan Shevchenko, Sanjeev Jaiswal, Shawn P Bolan, Thomas Doylend, William Rudenmalm, your suggestions helped make this a better book. Licensed to Jieren Chen <jieren@lychee.ai>",585
Page 22,"xxiabout this book It has now been more than two years since I’ve started writing Real-World Cryptography . I originally intended for it to be an intro duction to all there is to know about the type of cryptography that is used in the real worl d. But, of course, that ’s an impossible task. No field can be summarized in a single book. For this reason, I had to strike a balance between how much detail I want ed to give the reader and how much area I wanted to cover. I hope you find yourself in the sa me box I ended up wigg ling myself into. If you’re looking for a practica l book that teaches you the cryptography that companies and products implement and use, and if yo u’re curious about how real-world cryptog- raphy works underneath the surface but aren ’t looking for a reference book with all the implementation details, then this book is for you. Who should read this book Here is a list of what I believe are the types of people (although please don’t let any- one put you in a box) that wo uld benefit from this book. Students If you’re studying computer sc ience, security, or cryptograp hy and want to learn about cryptography as used in the real world (bec ause you are either targeting a job in the industry or want to work on applied subjects in academia), then I believe this is the textbook for you. Why? Because, as I said in the preface, I was once such a student, and I wrote the book I wish I had then. Licensed to Jieren Chen <jieren@lychee.ai>",358
Page 23,"ABOUT THIS BOOK xxii Security practitioners Pentesters, security consultant s, security engineers, securi ty architects, and other secu- rity roles comprised most of the students I had when I taught applied cryptography. Due to this, this material has been refine d by the many questions I received while I was trying to explain complicated cryptograp hy concepts to non-cryptographers. As a security practitioner myself, this book is also shaped by the cryptography I’ve audited for large companies and the bugs that I learned about or found along the way. Developers who use cryptograp hy directly or indirectly This work has also been sh aped by the many discussion s I’ve had with clients and coworkers, who were by and large neither security practitioners nor cryptographers. Today, it’s becoming harder and harder to write code without touching cryptography, and as such, you need to have some understanding of what you’re using. This book gives you that understanding using coding examples in different programming lan- guages and more if you’re curious. Cryptographers curious about other fields This book is an introduction to applied cryptography that’s useful to people like me. I wrote this first to myself, re member. If I managed to do a good job, a theoretical cryp- tographer should be able to get a quick understanding of what the applied cryptogra- phy world looks like; another one working on symmetric encryption should be able to swiftly pick up on password-authenticated key exchanges by reading the relevant chap- ter; a third one working with protocols shou ld be able to rapidly get a good under- standing of quantum cr yptography; and so on. Engineering and product managers who want to understand more This book also attempts to answer question s that I find to be more product-oriented: what are the tradeoffs and limitations of these approaches? What risk am I getting into? Would this path help me comply with regulations? Do I need to do this and that to work with a government? Curious people who want to know what real-world crypto is about You don’t need to be any of the previous ty pes I’ve listed to re ad this book. You just n e e d t o b e c u r i o u s a b o u t c r y p t o g r a p h y a s u s e d i n t h e r e a l w o r l d . K e e p i n m i n d , Idon’t teach the history of cryptography, and I don’t teach the basics of computer sci- ence, so at the very least, you should have heard of cryptography before getting into a book like this one. Assumed knowledge, the long version What will you need in order to get the mo st out of this book? You should know that this book assumes that you have some basic understanding of how your laptop or the internet works, and at least, you should have heard of en cryption. The book is about Licensed to Jieren Chen <jieren@lychee.ai>",654
Page 24,"ABOUT THIS BOOK xxiii real-world cryptography, and so it will be hard to put things in context if you’re not at ease with computers or if you’ve never heard of the word encryption before. Assuming that you somewhat know what yo u’re getting into, it’ll be a real plus if you know what bits and bytes are and if yo u’ve seen or even used bitwise operations like XOR, shift left, and those kinds of thin gs. Is it a deal breaker if you haven’t? No, but it might mean that you will have to stop for a few minutes here and there to do some Googling before yo u can resume reading. Actually, no matter how qualified you are, when reading this book, you’ll probably have to stop from time to time in order to get more information from the internet. Either because I (shame on me) forgot to define a term before using it or because Iwrongly assumed you would know about it. In any case, this should not be a huge deal as I try to ELY5 (explain like you’re 5) as best as I can the different concepts that I introduce. Finally, when I use the word cryptography , your brain is probably thinking about math. If, in addition to that thought, your face grimaced, then you’ll be glad to know that you shouldn’t worry too much about that. Real-World Cryptography is about teach- ing insights so that you gain an intuition about how it all works, and it attempts to avoid the mathy nitty-gritty when possible. Of course, I’d be lying if I said that no math was involved in the making of this book. There’s no teaching cryptography withou t math. So here’s what I’ll say: it helps if you have achieved a good level in mathem atics, but if you haven’t, it shouldn’t pre- v e n t y o u f r o m r e a d i n g m o s t o f t h i s b o o k . S o m e c h a p t e r s w i l l b e u n f r i e n d l y t o y o uunless you have a more advanced understandin g of math, specifically the last chapters (14 and 15) on quantum cryptography and next-generation cryptography, but noth- ing is impossible, and you can get throug h those chapters with willpower and by Googling about matrix multipli cations and other things you might not know about. If you decide to skip these, make sure you don’ t skip chapter 16, as it’s the icing on top of the cake. How this book is organized: A roadmap Real-World Cryptography is split into two parts. The first part is meant to be read from the first page to the last and covers most of the ingredients of cryptography: the stuff you’ll end up using like Lego to constr uct more complex sy stems and protocols. Chapter 1 is an introducti on to real-world cryptogr aphy, giving you some idea of what you’ll learn. Chapter 2 talks about hash functions, a fundamental algori thm of cryptography used to create unique id entifiers from bytestrings. Chapter 3 talks about data authenticati on and how you can ensure that nobody modifies your messages. Chapter 4 talks about encryption, which al lows two participants to hide their communications from observers. Licensed to Jieren Chen <jieren@lychee.ai>",784
Page 25,"ABOUT THIS BOOK xxiv Chapter 5 introduces key exchanges, wh ich allows you to negotiate a common secret with someone else interactively. Chapter 6 describes asymmetric encrypti on, which allows multiple people to encrypt messages to a single person. Chapter 7 talks about signatures, crypto graphic equivalents of pen-and-paper signatures. Chapter 8 talks about randomness and how to manage your secrets. The second part of this book contains the sy stems that are built out of these ingredients. Chapter 9 teaches you how encryption an d authentication are used to secure connections between machines (via the SSL/TLS protocol). Chapter 10 describes end-to-end encryption, which is really about how peoplelike you and I can trust one another. Chapter 11 shows how machines authenticate people and how people can helpmachines sync with one another. Chapter 12 introduces the nascent field of cryptocurrencies. Chapter 13 spotlights hardware crypto graphy, the devices that you can use to prevent your keys from being extracted. There are two bonus chapters: chapter 14 on post-quantum cryptography and chapter 15 on next-generation cryptography. These tw o fields are starting to make their way into products and companies, either be cause they are getting more relevant or because they are becoming more practical and efficient. While I won’t judge you if you skip these last two chapters, you do ha ve to read through chapter 16 (final words) before placing this book back on a shelf. Chapter 16 summarizes the different chal- lenges and the different lessons that a cryp tography practitioner (meaning you, once you finish this book) has to keep in mi nd. As Spider-Man’s Uncle Ben said, “With great power comes gr eat responsibility.” About the code This book contains many examples of sour ce code both in numbered listings and in line with normal text. In both cases, source code is formatted in a fixed-width font like this to separate it from ordinary text. Sometimes code is also in bold to high- light code that has changed from previous steps in the chapter, such as when a new feature adds to an existing line of code. In many cases, the original source co de has been reformatted; we’ve added line breaks and reworked indent ation to accommodate the available page space in the book. In rare cases, even this was not en ough, and listings include line-continuation markers ( ➥). Additionally, comments in the source code have often been removed from the listings when the code is describe d in the text. Code annotations accompany many of the listings, highlighting important concepts. Licensed to Jieren Chen <jieren@lychee.ai>",584
